epoch,experiment,param_count,train_accuracy,train_f1,train_loss,train_precision,train_recall,val_accuracy,val_f1,val_loss,val_precision,val_recall
32,convnextv2_tiny.fcmae_ft_in22k_in1k_384,28.64,0.8084112405776978,0.8770031929016113,0.4036352932453155,0.8060007095336914,0.9667510390281676,0.92592591047287,0.937621772289276,0.3145008087158203,0.8871252536773682,1.0
15,convnext_xxlarge.clip_laion2b_soup_ft_in1k,846.47,0.822429895,0.876750648,0.42590183,0.883176923,0.879838765,0.851851881,0.887125254,0.318413377,0.810370386,1.0
38,convnext_tiny.fb_in22k_ft_in1k_384,28.59,0.8691588640213013,0.9076088666915894,0.3353749811649322,0.8787322640419006,0.9435886740684508,0.7962962985038757,0.8494319319725037,0.3247680366039276,0.7866666316986084,0.9466230869293212
37,convnext_small.in12k_ft_in1k_384,50.22,0.8084112405776978,0.8782802820205688,0.4076582193374634,0.8054775595664978,0.96711665391922,0.8703703880310059,0.8988255858421326,0.3355333507061004,0.8271604180335999,1.0
33,mobilevitv2_200.cvnets_in22k_ft_in1k,18.45,0.864485979,0.902858853,0.401538461,0.94307512,0.871213615,0.907407403,0.910213232,0.337411046,0.92592591,0.895424902
25,convnext_xlarge.fb_in22k_ft_in1k_384,350.2,0.855140209,0.903341889,0.366259366,0.8654477,0.948481202,0.907407403,0.920808673,0.34214893,0.930283248,0.911764681
19,convnext_nano.in12k_ft_in1k,15.59,0.8598130941390991,0.9082180261611938,0.4095929861068725,0.8670697212219238,0.9577581882476808,0.8333333134651184,0.8759689927101135,0.3454661965370178,0.7948718070983887,1.0
34,convnext_tiny_hnf.a2h_in1k,28.59,0.8457943797111511,0.8991267681121826,0.3625912666320801,0.865607500076294,0.936769723892212,0.8888888955116272,0.9064327478408812,0.349608451128006,0.8589065074920654,0.9651415944099426
49,mobileone_s2.apple_in1k,7.88,0.83644861,0.892638147,0.37178269,0.846108854,0.949517429,0.814814806,0.858906507,0.352516711,0.786666632,0.965141594
47,mobilevitv2_175.cvnets_in22k_ft_in1k_384,14.25,0.892523348,0.920464516,0.368954837,0.942679167,0.900508225,0.870370388,0.904346049,0.367128879,0.906432748,0.909586012
32,convnextv2_tiny.fcmae_ft_in22k_in1k,28.64,0.8177570104598999,0.8874921202659607,0.4046069383621216,0.8104091286659241,0.9812867641448976,0.8518518805503845,0.8760244846343994,0.3721252679824829,0.8954249024391174,0.85838782787323
32,convnextv2_nano.fcmae_ft_in22k_in1k_384,15.62,0.8317757248878479,0.8878822922706604,0.3754891753196716,0.8667420744895935,0.91040301322937,0.7962962985038757,0.8558452725410461,0.3726997077465057,0.7805212736129761,0.9814814925193788
38,densenet169.tv_in1k,14.15,0.81775701,0.887108982,0.410117567,0.805626631,0.994461775,0.888888896,0.906432748,0.377242476,0.858906507,0.965141594
33,mobileone_s0.apple_in1k,5.29,0.850467265,0.903332293,0.378485739,0.851078331,0.968692243,0.777777791,0.845410645,0.377610385,0.754789293,1.0
41,convnext_small.fb_in22k_ft_in1k_384,50.22,0.84112149477005,0.894445538520813,0.4045918583869934,0.8417304754257202,0.9668127298355104,0.8703703880310059,0.9043460488319396,0.3806885480880737,0.9064327478408812,0.9095860123634338
27,mobilevitv2_150.cvnets_in22k_ft_in1k_384,10.59,0.883177578,0.919451296,0.385067821,0.92922318,0.911571264,0.870370388,0.87941432,0.389360458,0.920987666,0.84204793
23,convnext_tiny.fb_in22k_ft_in1k,28.59,0.7897196412086487,0.8709989786148071,0.4214904904365539,0.7887089848518372,0.9845794439315796,0.7777777910232544,0.8389319777488708,0.3987371921539306,0.7720797657966614,0.9466230869293212
39,repvit_m0_9.dist_450e_in1k,5.49,0.836448609828949,0.8947054147720337,0.3797852396965027,0.8372932076454163,0.9698907732963562,0.8518518805503845,0.8871252536773682,0.4037206470966339,0.8103703856468201,1.0
42,convnext_base.clip_laion2b_augreg_ft_in1k,88.59,0.855140209197998,0.9077731966972352,0.3873655498027801,0.8450568914413452,0.9813083410263062,0.7962962985038757,0.8410117626190186,0.4048151671886444,0.7777777910232544,0.93028324842453
12,convnext_xlarge.fb_in22k_ft_in1k,350.2,0.785046756,0.858111501,0.455374509,0.819289505,0.9139781,0.814814806,0.865319848,0.41440174,0.780521274,1.0
26,convnext_base.fb_in22k_ft_in1k_384,88.59,0.799065411,0.868455648,0.43354699,0.80475688,0.953765452,0.833333313,0.872006893,0.423787653,0.819645762,0.946623087
48,repvit_m2.dist_in1k,8.8,0.836448609828949,0.8959128260612488,0.3465079069137573,0.836326539516449,0.9682242274284364,0.7777777910232544,0.8383838534355164,0.426279217004776,0.7585734128952026,0.9651415944099426
26,mobilevitv2_150.cvnets_in22k_ft_in1k,10.59,0.864485979,0.903376281,0.405355781,0.950358033,0.862981081,0.833333313,0.865769148,0.427129924,0.830687821,0.911764681
24,convnext_pico.d1_in1k,9.05,0.836448609828949,0.892867922782898,0.3905439674854278,0.8330894708633423,0.967599630355835,0.7777777910232544,0.8454106450080872,0.427388995885849,0.7547892928123474,1.0
31,repvit_m1_5.dist_300e_in1k,14.64,0.7897196412086487,0.870670735836029,0.4494372904300689,0.7889313101768494,0.9760748147964478,0.7222222089767456,0.8185940980911255,0.4296598136425018,0.7222222089767456,1.0
38,mobileone_s4.apple_in1k,14.95,0.822429895,0.887776196,0.376122624,0.824340045,0.964749038,0.833333313,0.865769148,0.432960004,0.830687821,0.911764681
